id,username,displayname,description,followers,following,statuses,favourites,listed,mediaCount,created_at,profile_image,profile_banner
1178375305309892609,greenlaw1eleano,Eleanor,,2998,3026,14884,133,3,0,2019-09-29T18:25:53+00:00,https://pbs.twimg.com/profile_images/1220035259481325570/M8XzxS2x_normal.jpg,
1981704900284387328,Bohumir451675,Bohumir,,5,307,0,0,0,0,2025-10-24T12:51:04+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,
1919136861278359552,Eedejpea9581,Eedejpea,Success isn’t about being the best. It’s about always getting better.,110,4729,0,0,0,0,2025-05-04T21:07:39+00:00,https://pbs.twimg.com/profile_images/1919136876042285056/GEQbESM7_normal.jpg,
2587987656,GIGA_Heston,GIGA Heston,Founder @GIGATONS_Group | OG Ancestor in training: building a planet-saving legacy with blockchain & AI,152014,362,2774,1851,129,22,2014-06-25T18:36:30+00:00,https://pbs.twimg.com/profile_images/1862663546321985536/8ptNZqTu_normal.jpg,https://pbs.twimg.com/profile_banners/2587987656/1732985140
1224449122108952576,Enki__14,𒀭 Eℵki the Great Wizard ℵ,Born in Web3 👨‍💻 | Crypto user & thinker | Scientific wizard exploring DeSci 🧙‍♂️| #Biology #Anthropology $ENQAI 𒀭 $ALPH ℵ $ANYONE 🌐 $MYCO 🍄,215,769,2347,10044,1,279,2020-02-03T21:46:45+00:00,https://pbs.twimg.com/profile_images/1947449847830724608/A6P5sP_M_normal.jpg,https://pbs.twimg.com/profile_banners/1224449122108952576/1753143426
1921573049914281984,Qarfau24614,Qarfau,,51,889,0,0,0,0,2025-05-11T14:28:12+00:00,https://pbs.twimg.com/profile_images/1921573069245816832/371f1O3Q_normal.jpg,
1908795439123722240,Tuiiscal449623,Tuiiscal,,79,1012,0,0,0,0,2025-04-06T08:14:32+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://pbs.twimg.com/profile_banners/1908795439123722240/1743927295
1772535586017980417,QP8no3QMO55iw86,ArlenePhilemon,,67,7327,0,0,0,0,2024-03-26T08:06:36+00:00,https://pbs.twimg.com/profile_images/1787542455212285952/OiAft7tp_normal.jpg,
1627598563482927105,Sus1anna1Lee,Susanna Lee,"#BitcoinUser #BTC
Been a crypto fan for over a decade
My tweets and retweets do not provide any advice",825,1970,111,206,0,29,2023-02-20T09:18:43+00:00,https://pbs.twimg.com/profile_images/1869082125774843904/rzHIkYf0_normal.jpg,https://pbs.twimg.com/profile_banners/1627598563482927105/1734458857
1385056407620308998,pushvalue,PushValue,"love branding, building and ux",1050,1117,695,13370,6,28,2021-04-22T02:22:44+00:00,https://pbs.twimg.com/profile_images/1853162315753177088/SrLdM4VH_normal.jpg,https://pbs.twimg.com/profile_banners/1385056407620308998/1642017433
1319902677040582656,MaudBannwart,ℵ Maud Bannwart,A bit of everything @Alephium,2471,392,1781,20540,15,65,2020-10-24T07:25:03+00:00,https://pbs.twimg.com/profile_images/1910634591796232193/VOalVyqv_normal.jpg,https://pbs.twimg.com/profile_banners/1319902677040582656/1701700540
1872069935289245696,AlphVibes,David,all about @alephium,970,953,1932,8103,1,163,2024-12-26T00:00:56+00:00,https://pbs.twimg.com/profile_images/1890802388748980226/trCMRIA3_normal.jpg,https://pbs.twimg.com/profile_banners/1872069935289245696/1735495719
1792163908255428608,alphgang,Naber,$ALPH $KAS,18,58,65,764,0,0,2024-05-19T12:02:38+00:00,https://pbs.twimg.com/profile_images/1792272057083768833/zQIvBC4n_normal.jpg,
18167472,hongchao,h0ngcha0 (ℵ),This too shall pass,720,458,735,5847,9,44,2008-12-16T17:46:58+00:00,https://pbs.twimg.com/profile_images/1661551106294521856/qMixsjJu_normal.jpg,https://pbs.twimg.com/profile_banners/18167472/1684980320
3328487863,hei_hei2015,Crypto Kenny,crypto enthusiast,248,1585,439,349,9,6,2015-08-24T10:48:44+00:00,https://pbs.twimg.com/profile_images/1820768219717885952/-sfwgcuA_normal.jpg,https://pbs.twimg.com/profile_banners/3328487863/1647150094
1348141682198523906,Alexandrian777,AlexandrianWisdom,Love reading ancient texts. Patristics and biblical poetry,422,1166,2414,11466,2,156,2021-01-10T05:36:51+00:00,https://pbs.twimg.com/profile_images/1977906243369902080/tPjWSUBz_normal.jpg,https://pbs.twimg.com/profile_banners/1348141682198523906/1739728598
1394636781090390016,ron_alph,ron ℵ,Web3 Builder/Ambassador @alephium @wizardsarena | Arbitrage/Edge Bettor @oddsjam  | Co-Founder @AuraMarkets,1715,1229,13925,22353,7,868,2021-05-18T12:51:49+00:00,https://pbs.twimg.com/profile_images/1802426350680100864/ug0Z8KCT_normal.jpg,https://pbs.twimg.com/profile_banners/1394636781090390016/1696536383
906113366581809152,Hypolite54,𝕸𝖆𝖝𝖎𝖒𝖆𝖑𝖎𝖘𝖙.𝕳𝖞𝖕𝖔𝖑𝖎𝖙𝖊.Ä𝖑𝖕𝖍. ℵ,$ALPH,273,144,14628,14777,4,189,2017-09-08T11:13:56+00:00,https://pbs.twimg.com/profile_images/1809270494413324288/85XzeR3q_normal.jpg,https://pbs.twimg.com/profile_banners/906113366581809152/1731853873
45360211,amaurel,amaurel ⚡,"#bitcoin

#nostr: #npub1vk2st0kd4yud4l09j2hekkj09tpruu9pmshnzj8gywwucv0fcp2qvpw5l6",809,3585,4292,8305,8,491,2009-06-07T15:44:16+00:00,https://pbs.twimg.com/profile_images/1648046956772466689/rf2Mndbf_normal.jpg,https://pbs.twimg.com/profile_banners/45360211/1642001485
1641478408713678848,cryptogoldnikan,cryptogoldnikan,,2594,326,589,3702,1,115,2023-03-30T16:32:27+00:00,https://pbs.twimg.com/profile_images/1660939040399708160/h1D36fTh_normal.jpg,https://pbs.twimg.com/profile_banners/1641478408713678848/1726407591
1876682521800253440,dropcoinalph,AIRDROP,"Thank you

$DROP 

Alephium Token ID :   c9666f1847178e97d347eeff8381988bd1ee135fffde6f6b9fc948c00f3c6b00

I follow all ℵ $ALPH",2087,1503,5025,24747,3,578,2025-01-07T17:29:26+00:00,https://pbs.twimg.com/profile_images/1876682685180944384/FVXXpFHC_normal.jpg,https://pbs.twimg.com/profile_banners/1876682521800253440/1736373086
1753512720719060992,Alf_Orceur,A L F,"Blocked by the entire Alephium DAO because they know we know...

Watch your funds.",281,72,6316,17892,1,1177,2024-02-02T20:16:47+00:00,https://pbs.twimg.com/profile_images/1947176764746190848/fDX9bNeK_normal.jpg,
1870724028895244288,Alf__Abet,Alf__Abet,404: Limits not found ℵ,26,76,61,246,0,11,2024-12-22T06:52:48+00:00,https://pbs.twimg.com/profile_images/1870732979481296896/Wfp6ZW61_normal.jpg,https://pbs.twimg.com/profile_banners/1870724028895244288/1734852387
1866671210865520640,NftBuilder27,Punk,$ALPH,4,100,36,126,0,7,2024-12-11T02:28:07+00:00,https://pbs.twimg.com/profile_images/1868531235942752256/NzkcKF4-_normal.png,https://pbs.twimg.com/profile_banners/1866671210865520640/1734327006
1494312299259211781,PETMDiaz,"Eloisa D. ( τ, ℵ )",,280,1555,6836,31034,0,99,2022-02-17T14:06:40+00:00,https://pbs.twimg.com/profile_images/1888515301249007616/8VdTUD9B_normal.jpg,
1600932178598236166,regnumstates,italicus regnum states,"+all rises, we, the states of america, in public, in perfect, in favor to we the people of the United States to observe, to enforce the supreme law of the land.",950,7411,8926,11091,1,386,2022-12-08T19:19:28+00:00,https://pbs.twimg.com/profile_images/1600933097104629760/nIlKgqYC_normal.jpg,https://pbs.twimg.com/profile_banners/1600932178598236166/1670718784
1743377440582344704,DawgNUm,Take0ff,Alephium & various interests.,134,344,293,78592,0,8,2024-01-05T21:02:53+00:00,https://pbs.twimg.com/profile_images/1886439344077938688/DS5Q3yUT_normal.jpg,https://pbs.twimg.com/profile_banners/1743377440582344704/1734214023
1733919142925783040,numbergoup_ngu,NUMBER GO UP - $NGU,"Number Go Up ($NGU) is a deflationary token residing on the Alephium Blockchain.

https://t.co/deIuh27do8
https://t.co/1rEMOBiWRn",931,767,1730,2302,10,246,2023-12-10T18:39:37+00:00,https://pbs.twimg.com/profile_images/1740776568484659200/IRoHajDc_normal.jpg,https://pbs.twimg.com/profile_banners/1733919142925783040/1711931708
1798598744327204864,PropWolf,Wolf Of Prop firms,Testing prop firms so you dont have to. Are they legit?,417,319,1,30,0,1,2024-06-06T06:12:28+00:00,https://pbs.twimg.com/profile_images/1907336494991224832/sTCV0qF9_normal.jpg,
189678641,ImLongmoney,SHEISTY ℵ,"The official page of Da. #1 stunna #TeamScorpio #TeamMoveYourMoney 
PUFF PUFF MUSIC
#CRYPTO - #NFT H◎DL 
$SOL 💎 $ALPH",542,624,4427,32035,6,106,2010-09-11T22:58:27+00:00,https://pbs.twimg.com/profile_images/1770662996580118528/aM6WmFfy_normal.jpg,https://pbs.twimg.com/profile_banners/189678641/1708501696
